event_id,token_pos,head_idx,time_idx,label
mask_ev_0,0,0,0,L0/H0
mask_ev_1,1,0,1,L0/H0
mask_ev_2,1,0,2,L0/H0
mask_ev_3,0,1,3,L0/H1
mask_ev_4,1,1,4,L0/H1
mask_ev_5,1,1,5,L0/H1
mask_ev_6,2,1,6,L0/H1
mask_ev_7,2,1,7,L0/H1
mask_ev_8,2,1,8,L0/H1
mask_ev_9,3,1,9,L0/H1
mask_ev_10,3,1,10,L0/H1
mask_ev_11,3,1,11,L0/H1
mask_ev_12,3,1,12,L0/H1
mask_ev_13,4,1,13,L0/H1
mask_ev_14,4,1,14,L0/H1
mask_ev_15,4,1,15,L0/H1
mask_ev_16,4,1,16,L0/H1
mask_ev_17,4,1,17,L0/H1
mask_ev_18,5,1,18,L0/H1
mask_ev_19,5,1,19,L0/H1
mask_ev_20,5,1,20,L0/H1
mask_ev_21,5,1,21,L0/H1
mask_ev_22,5,1,22,L0/H1
mask_ev_23,5,1,23,L0/H1
mask_ev_24,6,1,24,L0/H1
mask_ev_25,6,1,25,L0/H1
mask_ev_26,6,1,26,L0/H1
mask_ev_27,6,1,27,L0/H1
mask_ev_28,6,1,28,L0/H1
mask_ev_29,6,1,29,L0/H1
mask_ev_30,6,1,30,L0/H1
mask_ev_31,0,0,31,L1/H0
mask_ev_32,1,0,32,L1/H0
mask_ev_33,1,0,33,L1/H0
mask_ev_34,0,1,34,L1/H1
mask_ev_35,1,1,35,L1/H1
mask_ev_36,1,1,36,L1/H1
mask_ev_37,2,1,37,L1/H1
mask_ev_38,2,1,38,L1/H1
mask_ev_39,2,1,39,L1/H1
mask_ev_40,3,1,40,L1/H1
mask_ev_41,3,1,41,L1/H1
mask_ev_42,3,1,42,L1/H1
mask_ev_43,3,1,43,L1/H1
mask_ev_44,4,1,44,L1/H1
mask_ev_45,4,1,45,L1/H1
mask_ev_46,4,1,46,L1/H1
mask_ev_47,4,1,47,L1/H1
mask_ev_48,4,1,48,L1/H1
mask_ev_49,5,1,49,L1/H1
mask_ev_50,5,1,50,L1/H1
mask_ev_51,5,1,51,L1/H1
mask_ev_52,5,1,52,L1/H1
mask_ev_53,5,1,53,L1/H1
mask_ev_54,5,1,54,L1/H1
mask_ev_55,6,1,55,L1/H1
mask_ev_56,6,1,56,L1/H1
mask_ev_57,6,1,57,L1/H1
mask_ev_58,6,1,58,L1/H1
mask_ev_59,6,1,59,L1/H1
mask_ev_60,6,1,60,L1/H1
mask_ev_61,6,1,61,L1/H1
